13.4,1000,2641,175,1.24,0.243,0.308,2.752,10
13.1,990,2641,175,1.24,0.243,0.308,2.752,10
12.8,980,2641,175,1.24,0.243,0.308,2.752,10
12.5,970,2641,175,1.24,0.243,0.308,2.752,10
12.3,960,2641,175,1.24,0.243,0.308,2.752,10
12,950,2641,175,1.24,0.243,0.308,2.752,10
11.7,940,2641,175,1.24,0.243,0.308,2.752,10
11.5,930,2641,175,1.24,0.243,0.308,2.752,10
11.2,920,2641,175,1.24,0.243,0.308,2.752,10
11,910,2641,175,1.24,0.243,0.308,2.752,10
10.7,900,2641,175,1.24,0.243,0.308,2.752,10
10.5,890,2641,175,1.24,0.243,0.308,2.752,10
10.3,880,2641,175,1.24,0.243,0.308,2.752,10
10,870,2641,175,1.24,0.243,0.308,2.752,10
9.8,860,2641,175,1.24,0.243,0.308,2.752,10
9.6,850,2641,175,1.24,0.243,0.308,2.752,10
9.4,840,2641,175,1.24,0.243,0.308,2.752,10
9.2,830,2641,175,1.24,0.243,0.308,2.752,10
9,820,2641,175,1.24,0.243,0.308,2.752,10
8.7,810,2641,175,1.24,0.243,0.308,2.752,10
8.5,800,2641,175,1.24,0.243,0.308,2.752,10
8.3,790,2641,175,1.24,0.243,0.308,2.752,10
8.1,780,2641,175,1.24,0.243,0.308,2.752,10
7.9,770,2641,175,1.24,0.243,0.308,2.752,10
7.7,760,2641,175,1.24,0.243,0.308,2.752,10
7.5,750,2641,175,1.24,0.243,0.308,2.752,10
7.4,740,2641,175,1.24,0.243,0.308,2.752,10
7.2,730,2641,175,1.24,0.243,0.308,2.752,10
7,720,2641,175,1.24,0.243,0.308,2.752,10
6.8,710,2641,175,1.24,0.243,0.308,2.752,10
6.6,700,2641,175,1.24,0.243,0.308,2.752,10
6.5,690,2641,175,1.24,0.243,0.308,2.752,10
6.3,680,2641,175,1.24,0.243,0.308,2.752,10
6.1,670,2641,175,1.24,0.243,0.308,2.752,10
5.9,660,2641,175,1.24,0.243,0.308,2.752,10
5.8,650,2641,175,1.24,0.243,0.308,2.752,10
5.6,640,2641,175,1.24,0.243,0.308,2.752,10
5.5,630,2641,175,1.24,0.243,0.308,2.752,10
5.3,620,2641,175,1.24,0.243,0.308,2.752,10
5.1,610,2641,175,1.24,0.243,0.308,2.752,10
5,600,2641,175,1.24,0.243,0.308,2.752,10
4.8,590,2641,175,1.24,0.243,0.308,2.752,10
4.7,580,2641,175,1.24,0.243,0.308,2.752,10
4.5,570,2641,175,1.24,0.243,0.308,2.752,10
4.4,560,2641,175,1.24,0.243,0.308,2.752,10
